Tahun,NAMOBJ,WADMKK,luas_total_km2,vegetasi_km2,vegetasi_pct,tubuh_air_km2,tubuh_air_pct,lahan_terbangun_km2,lahan_terbangun_pct,lahan_terbuka_km2,lahan_terbuka_pct
2009,Banguntapan,Bantul,28.41951806,19.63205178,69.07946761,0.10608194,0.373271426,7.916124093,27.8545332,0.765260253,2.692727764
2009,Bantul,Bantul,21.80665708,19.14036359,87.77302969,0.01505739,0.069049512,1.862436406,8.540678195,0.788799691,3.617242607
2009,Berbah,Sleman,25.04620459,21.32204004,85.13082275,0.144269294,0.576012599,2.829505918,11.29714447,0.750389344,2.99602018
2009,Cangkringan,Sleman,48.62721596,45.61061426,93.7964746,0.241758301,0.497166651,0.855162527,1.758608858,1.919680865,3.947749891
2009,Danurejan,Kota Yogyakarta,1.068303758,0.011419898,1.06897481,0.004276806,0.400336153,0.95598069,89.48584918,0.096626364,9.044839859
2009,Depok,Sleman,32.12120046,15.81634775,49.23959107,0.20050818,0.624223805,13.9390835,43.39527569,2.165261032,6.740909432
2009,Gamping,Sleman,29.11178622,23.43187718,80.48931453,0.211313139,0.725867994,4.543692208,15.60774105,0.924903696,3.177076423
2009,Gedongtengen,Kota Yogyakarta,0.942360865,0.039815102,4.225037712,0.002678672,0.284251168,0.838796318,89.01009675,0.061070774,6.480614365
2009,Godean,Sleman,26.74955973,24.61054872,92.00356552,0.053277203,0.19917039,1.696660077,6.342758886,0.389073738,1.454505201
2009,Gondokusuman,Kota Yogyakarta,4.055542786,0.342105433,8.435502992,0.049620402,1.22352062,3.422250589,84.38452681,0.241566361,5.956449578
2009,Gondomanan,Kota Yogyakarta,1.072507251,0.0469538,4.377947123,0.018781513,1.751178144,0.886460451,82.65309625,0.120311488,11.21777848
2009,Jetis,Bantul,23.52780964,21.06740978,89.54258855,0.293282395,1.246535057,1.787726104,7.598353314,0.379391361,1.612523083
2009,Jetis,Kota Yogyakarta,1.778561716,0.077787198,4.373601291,0.011496578,0.646397449,1.577946097,88.72034535,0.111331844,6.259655906
2009,Kalasan,Sleman,35.82102976,30.79811574,85.97775089,0.136663387,0.381517192,4.153849749,11.59612043,0.732400891,2.044611491
2009,Kasihan,Bantul,32.09275592,25.23458958,78.63017324,0.139205586,0.433760149,5.635885669,17.56123931,1.083075089,3.374827304
2009,Kotagede,Kota Yogyakarta,2.969277587,0.88806475,29.90844487,0.008244102,0.277646717,1.926441672,64.87913697,0.146527063,4.934771448
2009,Kraton,Kota Yogyakarta,1.569387203,0.13408388,8.543709254,0.001042242,0.066410779,1.221828359,77.85385002,0.212432722,13.53602995
2009,Mantrijeron,Kota Yogyakarta,2.599556538,0.510330164,19.63143162,0.004321709,0.166247931,1.961071964,75.43871177,0.123832701,4.763608681
2009,Mergangsan,Kota Yogyakarta,2.367042703,0.22689579,9.585623026,0.011183182,0.472453733,2.02590437,85.58799414,0.103059361,4.353929105
2009,Minggir,Sleman,26.89147495,25.10452249,93.35494814,0.560187329,2.083140957,0.667173854,2.480986466,0.559591273,2.080924436
2009,Mlati,Sleman,28.45928107,22.77387186,80.02265344,0.0964616,0.338946019,4.883402974,17.15926331,0.705544634,2.479137237
2009,Moyudan,Sleman,27.50111396,26.05107241,94.72733521,0.247587095,0.90028024,0.494926094,1.799658349,0.707528364,2.572726201
2009,Ngaglik,Sleman,38.37208369,32.22716736,83.98597173,0.026529753,0.069138162,5.338277366,13.91187773,0.78010921,2.033012375
2009,Ngampilan,Kota Yogyakarta,0.812149662,0.054162499,6.669029304,7.92E-04,0.097531734,0.686443273,84.52177036,0.070751787,8.711668598
