NAMOBJ,WADMKK,min,max,mean,Tahun,Zona
Kasihan,Bantul,0.00210119,0.890793557,0.54771202,2019,Urban
Kotagede,Kota Yogyakarta,0.035898972,0.835322307,0.376745834,2019,Urban
Kraton,Kota Yogyakarta,0.10669746,0.611918391,0.325380348,2019,Urban
Mantrijeron,Kota Yogyakarta,0.065999637,0.793545158,0.348376511,2019,Urban
Mergangsan,Kota Yogyakarta,0.075668143,0.756568543,0.326598439,2019,Urban
Minggir,Sleman,-0.24775345,0.860081201,0.627812295,2019,Rural
Mlati,Sleman,0.023606528,0.86175909,0.539298169,2019,Urban
Moyudan,Sleman,-0.271427044,0.854203211,0.619765402,2019,Rural
Ngaglik,Sleman,0.04414489,0.87815955,0.549080559,2019,Urban
Ngampilan,Kota Yogyakarta,0.110701237,0.767792984,0.294618757,2019,Urban
Ngemplak,Sleman,0.083573764,0.872393423,0.597102519,2019,Urban
Pajangan,Bantul,-0.266319504,0.850444545,0.639214012,2019,Rural
Pakem,Sleman,-0.004362002,0.907250284,0.707702506,2019,Rural
Pakualaman,Kota Yogyakarta,0.122181495,0.635477067,0.302877589,2019,Urban
Piyungan,Bantul,0.050525076,0.873090545,0.617187411,2019,Rural
Pleret,Bantul,0.0850723,0.882067607,0.594386457,2019,Rural
Sedayu,Bantul,-0.275665803,0.861571875,0.630563945,2019,Rural
Sewon,Bantul,0.041318464,0.859205076,0.519356366,2019,Urban
Seyegan,Sleman,0.127714108,0.869874509,0.614145579,2019,Rural
Sleman,Sleman,0.01547941,0.860003606,0.587843558,2019,Rural
Tegalrejo,Kota Yogyakarta,0.046540557,0.784639176,0.355996321,2019,Urban
Turi,Sleman,0.093721432,0.897089338,0.759150139,2019,Rural
Umbulharjo,Kota Yogyakarta,0.021441581,0.825120088,0.364107256,2019,Urban
Wirobrajan,Kota Yogyakarta,0.103848042,0.767792984,0.335370284,2019,Urban
Banguntapan,Bantul,0.035349774,0.865936535,0.496023567,2024,Urban
Bantul,Bantul,0.057539422,0.852614959,0.573124199,2024,Rural
Berbah,Sleman,0.02007146,0.871525359,0.595415857,2024,Rural
Cangkringan,Sleman,-0.004080926,0.981950636,0.726204746,2024,Rural
Danurejan,Kota Yogyakarta,0.034340539,0.676864927,0.274112846,2024,Urban
Depok,Sleman,0.024483429,0.875159528,0.429819511,2024,Urban
Gamping,Sleman,0.034155732,0.864257531,0.530965614,2024,Urban
Gedongtengen,Kota Yogyakarta,0.058149558,0.702685281,0.27511644,2024,Urban
Godean,Sleman,0.062930365,0.838111981,0.563178193,2024,Urban
Gondokusuman,Kota Yogyakarta,0.040512126,0.784527605,0.313537772,2024,Urban
Gondomanan,Kota Yogyakarta,0.053773854,0.725736656,0.276448807,2024,Urban
Jetis,Bantul,0.092651605,0.858988249,0.592598791,2024,Rural
Jetis,Kota Yogyakarta,0.064556896,0.744142817,0.296454036,2024,Urban
Kalasan,Sleman,0.002422445,0.886997549,0.574758624,2024,Rural
Kasihan,Bantul,0.061088208,0.857509939,0.538732977,2024,Urban
Kotagede,Kota Yogyakarta,0.068203607,0.836892737,0.368244836,2024,Urban
Kraton,Kota Yogyakarta,0.084121041,0.599823454,0.313972009,2024,Urban
Mantrijeron,Kota Yogyakarta,0.043553412,0.807537687,0.347373078,2024,Urban
Mergangsan,Kota Yogyakarta,0.069453166,0.784353124,0.319042866,2024,Urban
Minggir,Sleman,-0.284337013,0.882291128,0.643148975,2024,Rural
Mlati,Sleman,0.041152673,0.864620446,0.519845123,2024,Urban
Moyudan,Sleman,-0.232591957,0.851561354,0.635960485,2024,Rural
Ngaglik,Sleman,0.051584776,0.879780004,0.545913825,2024,Urban
Ngampilan,Kota Yogyakarta,0.121004061,0.783525041,0.29142713,2024,Urban
Ngemplak,Sleman,0.071548887,0.8808448,0.609143957,2024,Urban
Pajangan,Bantul,-0.487663908,0.865667586,0.640085932,2024,Rural
Pakem,Sleman,-0.001611738,0.912085334,0.703665001,2024,Rural
Pakualaman,Kota Yogyakarta,0.110844226,0.601022375,0.292670522,2024,Urban
Piyungan,Bantul,0.033197153,0.889985879,0.645481974,2024,Rural
Pleret,Bantul,0.053754596,0.885423916,0.621650055,2024,Rural
Sedayu,Bantul,-0.397594433,0.863551034,0.641130619,2024,Rural
Sewon,Bantul,-0.003320699,0.849761255,0.527972419,2024,Urban
Seyegan,Sleman,-0.002564615,0.852213267,0.601951788,2024,Rural
