NAMOBJ,WADMKK,min,max,mean,Tahun,Zona
Ngemplak,Sleman,-0.182351334,0.450656592,0.184831281,2014,Urban
Pajangan,Bantul,-0.266464307,0.516154909,0.20431438,2014,Rural
Pakem,Sleman,-0.252305676,0.563697142,0.264084992,2014,Rural
Pakualaman,Kota Yogyakarta,-0.200019631,0.182789639,-0.067441479,2014,Urban
Piyungan,Bantul,-0.283244185,0.434439894,0.160673532,2014,Rural
Pleret,Bantul,-0.189454242,0.491710776,0.162229015,2014,Rural
Sedayu,Bantul,-0.244754051,0.503692762,0.218656352,2014,Rural
Sewon,Bantul,-0.28419145,0.509350104,0.142004436,2014,Urban
Seyegan,Sleman,-0.174504922,0.503806315,0.216531279,2014,Rural
Sleman,Sleman,-0.314389143,0.445341978,0.179214176,2014,Rural
Tegalrejo,Kota Yogyakarta,-0.255811151,0.425674013,-0.004646253,2014,Urban
Turi,Sleman,-0.194671011,0.480375084,0.303235597,2014,Rural
Umbulharjo,Kota Yogyakarta,-0.251265677,0.488412654,0.00778155,2014,Urban
Wirobrajan,Kota Yogyakarta,-0.212146939,0.306004886,-0.037045207,2014,Urban
Banguntapan,Bantul,-0.280628039,0.485482516,0.093209066,2019,Urban
Bantul,Bantul,-0.374288893,0.430427439,0.154742242,2019,Rural
Berbah,Sleman,-0.328310093,0.462358928,0.154871566,2019,Rural
Cangkringan,Sleman,-0.940327505,0.490782362,0.259510319,2019,Rural
Danurejan,Kota Yogyakarta,-0.227659233,0.300009741,-0.08389967,2019,Urban
Depok,Sleman,-0.284666098,0.451584517,0.037429119,2019,Urban
Gamping,Sleman,-0.359960163,0.445288588,0.128190163,2019,Urban
Gedongtengen,Kota Yogyakarta,-0.236887603,0.300009741,-0.079932721,2019,Urban
Godean,Sleman,-0.249553745,0.465878114,0.152672029,2019,Urban
Gondokusuman,Kota Yogyakarta,-0.26918446,0.317911523,-0.051384581,2019,Urban
Gondomanan,Kota Yogyakarta,-0.247457674,0.287855305,-0.072627445,2019,Urban
Jetis,Bantul,-0.20137053,0.543317199,0.17971581,2019,Rural
Jetis,Kota Yogyakarta,-0.271933382,0.378147829,-0.074370698,2019,Urban
Kalasan,Sleman,-0.269281584,0.536473227,0.149691039,2019,Rural
Kasihan,Bantul,-0.279295769,0.466165533,0.122550812,2019,Urban
Kotagede,Kota Yogyakarta,-0.270059152,0.437498692,-0.037203882,2019,Urban
Kraton,Kota Yogyakarta,-0.291127469,0.204182355,-0.083235514,2019,Urban
Mantrijeron,Kota Yogyakarta,-0.223513193,0.388066892,-0.05817134,2019,Urban
Mergangsan,Kota Yogyakarta,-0.23798301,0.349194538,-0.064308851,2019,Urban
Minggir,Sleman,-0.196887269,0.539497725,0.208155069,2019,Rural
Mlati,Sleman,-0.327462609,0.439359557,0.127362813,2019,Urban
Moyudan,Sleman,-0.192039016,0.53006274,0.197859678,2019,Rural
Ngaglik,Sleman,-0.272475594,0.457943078,0.133481478,2019,Urban
Ngampilan,Kota Yogyakarta,-0.226124014,0.333410474,-0.102571339,2019,Urban
Ngemplak,Sleman,-0.277745533,0.460477884,0.181381884,2019,Urban
Pajangan,Bantul,-0.25435771,0.483597411,0.173091278,2019,Rural
Pakem,Sleman,-0.278853584,0.581232186,0.251674647,2019,Rural
Pakualaman,Kota Yogyakarta,-0.220818518,0.174678141,-0.083453817,2019,Urban
Piyungan,Bantul,-0.263784272,0.464183114,0.158219506,2019,Rural
Pleret,Bantul,-0.222573672,0.465106775,0.142109117,2019,Rural
Sedayu,Bantul,-0.258444653,0.532007482,0.197419411,2019,Rural
Sewon,Bantul,-0.285767027,0.439494055,0.12018965,2019,Urban
Seyegan,Sleman,-0.224147347,0.450648251,0.190861553,2019,Rural
Sleman,Sleman,-0.281455753,0.458117252,0.16296246,2019,Rural
Tegalrejo,Kota Yogyakarta,-0.260595146,0.382977613,-0.036256494,2019,Urban
Turi,Sleman,-0.197908513,0.473033107,0.285610137,2019,Rural
Umbulharjo,Kota Yogyakarta,-0.313879545,0.408502854,-0.020755111,2019,Urban
Wirobrajan,Kota Yogyakarta,-0.241377475,0.333410474,-0.064881948,2019,Urban
Banguntapan,Bantul,-0.324221518,0.469697054,0.087493498,2024,Urban
Bantul,Bantul,-0.350348852,0.476371495,0.148073744,2024,Rural
Berbah,Sleman,-0.306855748,0.478841702,0.169094194,2024,Rural
Cangkringan,Sleman,-0.453856247,0.538997198,0.273298092,2024,Rural
Danurejan,Kota Yogyakarta,-0.262520631,0.274061382,-0.091702324,2024,Urban
Depok,Sleman,-0.305560652,0.501325128,0.03640999,2024,Urban
Gamping,Sleman,-0.323854817,0.475110256,0.117144089,2024,Urban
Gedongtengen,Kota Yogyakarta,-0.245333701,0.282786432,-0.091140551,2024,Urban
Godean,Sleman,-0.27832193,0.446826711,0.146690872,2024,Urban
Gondokusuman,Kota Yogyakarta,-0.290748138,0.364512843,-0.060348799,2024,Urban
Gondomanan,Kota Yogyakarta,-0.271555618,0.299989206,-0.074449488,2024,Urban
Jetis,Bantul,-0.223161036,0.601977547,0.167067324,2024,Rural
Jetis,Kota Yogyakarta,-0.272292467,0.277935602,-0.078353346,2024,Urban
Kalasan,Sleman,-0.292353034,0.492678257,0.163965024,2024,Rural
Kasihan,Bantul,-0.297534498,0.488096263,0.113564546,2024,Urban
Kotagede,Kota Yogyakarta,-0.269607289,0.456886339,-0.045965258,2024,Urban
Kraton,Kota Yogyakarta,-0.304374248,0.293700043,-0.080721558,2024,Urban
Mantrijeron,Kota Yogyakarta,-0.237524274,0.391030681,-0.059129918,2024,Urban
Mergangsan,Kota Yogyakarta,-0.235833528,0.364913993,-0.073805754,2024,Urban
Minggir,Sleman,-0.267877448,0.521078751,0.217516914,2024,Rural
Mlati,Sleman,-0.294714529,0.485283091,0.103473608,2024,Urban
Moyudan,Sleman,-0.167152471,0.516609393,0.205326417,2024,Rural
Ngaglik,Sleman,-0.281949134,0.458308273,0.122552901,2024,Urban
