NAMOBJ,WADMKK,min,max,mean,Tahun,Zona
Moyudan,Sleman,30.62201996,41.55116824,34.88365261,2019,Rural
Ngaglik,Sleman,31.10408871,45.24354393,37.142613,2019,Urban
Ngampilan,Kota Yogyakarta,37.60037045,45.15720338,42.33854435,2019,Urban
Ngemplak,Sleman,30.84398031,44.71021652,36.46718723,2019,Urban
Pajangan,Bantul,29.650907,41.71521989,34.07020263,2019,Rural
Pakem,Sleman,18.53738121,42.41371345,30.5851031,2019,Rural
Pakualaman,Kota Yogyakarta,40.93065138,44.83243187,42.55154932,2019,Urban
Piyungan,Bantul,30.59500477,47.38542335,37.0966627,2019,Rural
Pleret,Bantul,29.98034638,44.56369316,37.25575977,2019,Rural
Sedayu,Bantul,29.94178021,41.66092155,34.52037044,2019,Rural
Sewon,Bantul,30.50540869,46.1225219,37.64389201,2019,Urban
Seyegan,Sleman,28.78110201,40.45985242,34.24794884,2019,Rural
Sleman,Sleman,29.9396475,43.94374476,35.19586491,2019,Rural
Tegalrejo,Kota Yogyakarta,35.74882321,43.33560095,40.07503867,2019,Urban
Turi,Sleman,23.70609479,40.50251784,30.05697652,2019,Rural
Umbulharjo,Kota Yogyakarta,33.2518167,45.39431237,41.50853735,2019,Urban
Wirobrajan,Kota Yogyakarta,37.60037045,44.28785845,41.28506216,2019,Urban
Banguntapan,Bantul,34.61045845,48.91070451,40.81208887,2024,Urban
Bantul,Bantul,34.2546728,46.27115802,39.31459308,2024,Rural
Berbah,Sleman,33.54310056,49.922232,39.00162458,2024,Rural
Cangkringan,Sleman,21.45976752,42.10762139,30.92837492,2024,Rural
Danurejan,Kota Yogyakarta,38.80294647,47.38486338,43.80926883,2024,Urban
Depok,Sleman,33.31894816,50.67236883,41.87388086,2024,Urban
Gamping,Sleman,31.92125534,47.92105038,38.98478688,2024,Urban
Gedongtengen,Kota Yogyakarta,40.74766754,47.67430708,44.37726723,2024,Urban
Godean,Sleman,30.78365621,47.53814463,37.42197478,2024,Urban
Gondokusuman,Kota Yogyakarta,38.80294647,49.61218402,44.92578718,2024,Urban
Gondomanan,Kota Yogyakarta,40.8364466,53.48519135,44.49925905,2024,Urban
Jetis,Bantul,33.68342691,46.24240646,39.04836696,2024,Rural
Jetis,Kota Yogyakarta,39.96230347,47.48296287,43.38546909,2024,Urban
Kalasan,Sleman,32.50563435,46.93098473,38.68261187,2024,Rural
Kasihan,Bantul,32.03164667,48.17328945,38.84194152,2024,Urban
Kotagede,Kota Yogyakarta,34.93838534,48.26364431,44.25466075,2024,Urban
Kraton,Kota Yogyakarta,41.31373626,53.38936953,45.96231223,2024,Urban
Mantrijeron,Kota Yogyakarta,37.92789639,48.06300946,43.20671994,2024,Urban
Mergangsan,Kota Yogyakarta,37.68765942,48.79384862,44.68676759,2024,Urban
Minggir,Sleman,30.80936725,43.74348067,35.82380527,2024,Rural
Mlati,Sleman,32.37321235,46.6627932,38.57962453,2024,Urban
Moyudan,Sleman,30.48289006,45.8743933,36.47564127,2024,Rural
Ngaglik,Sleman,31.67757072,47.31741525,37.96479649,2024,Urban
Ngampilan,Kota Yogyakarta,40.01744538,47.58426536,44.1920027,2024,Urban
Ngemplak,Sleman,31.35132255,46.84618961,36.97151479,2024,Urban
Pajangan,Bantul,31.69057294,45.11219,36.98866711,2024,Rural
Pakem,Sleman,20.72162069,78.60125697,31.64438235,2024,Rural
Pakualaman,Kota Yogyakarta,42.85092398,47.64878012,45.41320659,2024,Urban
